original_name,french_name,RICname
etats romains et lucques,Etats Romains et Lucques,Lucca & Papal States
etats romains**,Etats Romains,Papal States
etats sardes,Etats Sardes,Kingdom of Sardinia
etats sardes (gênes),Etats Sardes (Gênes),Genoa
etats sardes (ile de sardaigne),Etats Sardes (Sardaigne),Sardinia
etats sardes (terre ferme),Etats Sardes (terre),Kingdom of Sardinia (land)
etats sardes de terre ferme,Etats Sardes (terre),Kingdom of Sardinia (land)
etats sardes et gênes,Etats sardes et Gênes,Kingdom of Sardinia & Genoa
etats sardes et toscane,Etats Sardes et Toscane,Kingdom of Sardinia & Tuscany
etats sardes- gênes,Etats Sardes (Gênes),Genoa
etats sardes**,Etats Sardes,Kingdom of Sardinia
"etats sardes, etats romains et deux-siciles",Deux-Siciles et Etats Romains et Etats Sardes,Kingdom of Sardinia & Papal States & Two Sicilies
etats turcs,Turquie,Turkey
etats turcs (y compris egypte et dépendances),Turquie et Egypte,Turkey & Egypt/United Arab Republic
etats turcs (y compris l'egypte et ses dépendances),Turquie et Egypte,Turkey & Egypt/United Arab Republic
etats-barbaresques et côte d'afrique,Etats Barbaresques et Côte d'Afrique,Africa Coast & Barbary Coast
etats-romains,Etats Romains,Papal States
"etats-romains, lucques, monaco",Etats Romains et Lucques et Monaco,Lucca & Monaco & Papal States
etats-sardes,Etats Sardes,Kingdom of Sardinia
etats-sardes et monaco,Etats Sardes et Monaco,Kingdom of Sardinia & Monaco
etats-unis,Etats-Unis,United States of America
etats-unis (+hawaï et porto rico),Etats-Unis et Hawaï et Porto Rico,Hawaii & Puerto Rico & United States of America
etats-unis (+hawaï),Etats-Unis et Hawaï,Hawaii & United States of America
etats-unis (sans californie),Etats-Unis (sans Californie),United States of America (other)
etats-unis d'amérique,Etats-Unis,United States of America
etats-unis et canada,Etats-Unis et Canada,Canada & United States of America
etats-unis et colonies,Etats-Unis et Colonies américaines,American Colonies & United States of America
etats-unis**,Etats-Unis,United States of America
"etats-unis, canada",Etats-Unis et Canada,Canada & United States of America
ethiopia,Ethiopie,Ethiopia (Abyssinia)
ethiopie,Ethiopie,Ethiopia (Abyssinia)
ethiopie (abyssinie),Abyssinie,Ethiopia (Abyssinia)
europe,Europe,Europe
europe continentale,Europe continentale,Continental Europe
europe generally,Europe (Autre),Europe (other)
europe méridionale,Europe méridionale,Southern Europe
europe septentrionale,Europe septentrionale,Northern Europe
european countries,Europe,Europe
european ports,Europe (ports),European Ports
falkland,Falkland,Falkland Is.
falkland (iles),Falkland,Falkland Is.
falkland is.,Falkland,Falkland Is.
falkland islands,Falkland,Falkland Is.
falkland isles,Falkland,Falkland Is.
farkland,Falkland,Falkland Is.
farkland (iles),Falkland,Falkland Is.
farkland islands,Falkland,Falkland Is.
faulkland islands,Falkland,Falkland Is.
fayal and other azores,Fayal et Autre Açores,Azores (Western Isles)
federated malay states,Etats fédérés de Malaisie,Federated Malay States
fernambouc,Brésil (Pernambouc),Pernambuco
fernando po,Fernando Po,Fernando Po (Bioko)
fernando po (spain),Fernando Po,Fernando Po (Bioko)
fernando po* (spain),Fernando Po,Fernando Po (Bioko)
feroe,Iles Féroé,Faeroe Is.
fidji,Fidji,Fiji
fiji,Fidji,Fiji
fiji islands,Fidji,Fiji
filipinas,Philippines,Philippines
finland,Finlande,Finland
finlande,Finlande,Finland
finlandia,Finlande,Finland
fiume,Autriche-Hongrie (Fiume),Fiume
foreign countries (non british),Monde non britannique,World (other than British)
foreign east africa,Afrique orientale,East Africa
foreign merchandise from the united states,Etats-Unis (Produits étrangers),United States of America (Foreign produce)
foreign merchandise to the usa,Etats-Unis (Produits étrangers),United States of America (Foreign produce)
foreign settlements on the north-west coast of america,Etablissements non britanniques d'Amérique nord-occidentale,North-West America (other)
foreign west indies,Antilles (Autre),Antilles (other)
formosa,Formose,Republic of China (Taiwan) (Formosa)
formosa (japanese possession),Formose,Republic of China (Taiwan) (Formosa)
fort saint georges,Fort Saint Georges,Fort St. George
fra,France,France
france,France,France
france (foreign produce),France (produits étrangers),France (Foreign produce)
france (french produce),France (produits français),France (French produce)
france (mer),France (mer),France (sea)
france and algeria,France et Algérie,Algeria & France
france and colonies,France et Colonies françaises,France & French Colonies
france and dependencies,France et Dépendances françaises,France & French Dependencies
france and french colonies,France et colonies françaises,France & French Colonies
france and french colonies (french produce),France et colonies françaises (produits français),France (French produce) & French colonies (French produce)
france et alger,France et Algérie,Algeria & France
france et algerie,France et Algérie,Algeria & France
france et algérie,France et Algérie,Algeria & France
france et colonies,France et Colonies françaises,France & French Colonies
france et dépendances,France et Colonies françaises,France & French Colonies
france et poss. fr. en méd.,France et Méditerranée française,France & French Mediterranean
france et possessions,France et Colonies françaises,France & French Colonies
france et possessions françaises (méditerrannée),France et Méditerranée française,France & French Mediterranean
france et ses dépendances,France et Colonies françaises,France & French Colonies
france et ses possessions,France et Colonies françaises,France & French Colonies
france et ses possessions au nord de l'afrique,France et Algérie et Tunisie et Maroc,Algeria & France & Morocco & Tunisia
france on the atlantic,France (côte Atlantique),France (Atlantic Coast)
france on the mediterranean,France (côte Méditerranéenne),France (Mediterranean Coast)
france(marseille),Marseille,Marseille
france**,France,France
"france, french possessions",Colonies françaises,French Colonies
"france, tahiti",France et Tahiti,France & Tahiti
francia,France,France
francia y sus colonias,France et Colonies françaises,France & French Colonies
frankfurt,Francfort,Frankfurt
französisch westafrika,Afrique occidentale française,French West Africa
free orange states,Etat libre d'Orange,Orange Free State (Orange River Colony)
"freihäfen bremerhaven, geestemünde",Brême (port) et Hanovre (port),Bremen & Hanover
freihafen hamburg,Hambourg,Hamburg
french africa,Afrique française,French Africa
french china,Chine française,French China
french colonies,Colonies françaises,French Colonies
french colonies (foreign produce),Colonies françaises (produits étrangers),French Colonies (Foreign produce)
french colonies (french produce),Colonies françaises (produits français),French Colonies (French produce)
french east africa,Afrique orientale française,Djibouti (Afar and Issas) (French Somaliland)
french east africa (france),Afrique orientale française,Djibouti (Afar and Issas) (French Somaliland)
french east indies,Inde orientale française,French India
french equatorial africa,Afrique-Equatoriale française,French Equatorial Africa
french guiana,Guyane française,French Guyana
french guiana (france),Guyane française,French Guyana
french guyana,Guyane française,French Guyana
french india,Inde française,French India
french indochina,Indochine française,French Indochina
french indo-china,Indochine française,French Indochina
"french indo-china (cochin china, camboja, annam, and tonquin) (france)",Cochinchine et Annam et Cambodge et Tonquin,Annam & Cochin China & Kampuchea (Cambodia) & Tonkin
"french indo-china (including cochin china, camboja, annam and tonquin)",Cochinchine et Annam et Cambodge et Tonquin,Annam & Cochin China & Kampuchea (Cambodia) & Tonkin
"french indo-china (including cochin china, camboja, annam, and tonquin)",Cochinchine et Annam et Cambodge et Tonquin,Annam & Cochin China & Kampuchea (Cambodia) & Tonkin
"french indo-china (including cochin china, camboja, annam, and tonquin) (france)",Cochinchine et Annam et Cambodge et Tonquin,Annam & Cochin China & Kampuchea (Cambodia) & Tonkin
"french indo-china (including cochin china, camboja, annam, tonquin  and french leased terrritories in china)",Cochinchine et Annam et Cambodge et Tonquin et concessions françaises en Chine,Annam & Cochin China & Kampuchea (Cambodia) & French China Leased Territory & Tonkin
"french indo-china (including cochin china; camboja, annam and tonquin)",Cochinchine et Annam et Cambodge et Tonquin,Annam & Cochin China & Kampuchea (Cambodia) & Tonkin
french indochina (saigon),Indochine (Saigon),Ho Chi Minh City
french indo-china (saigon),Indochine (Saigon),Ho Chi Minh City
french madagascar,Madagascar,Malagasy Republic (Madagascar)
"french miquelon, &c",Saint-Pierre-et-Miquelon et Langlade,St. Pierre and Miquelon
"french miquelon, langley, &c",Saint-Pierre-et-Miquelon et Langlade,St. Pierre and Miquelon
french north american fisheries,Saint-Pierre-et-Miquelon et Grande-Pêche,St. Pierre and Miquelon
french north american possessions,Amérique du Nord française,French North America
french oceania,Océanie française,French Oceania
french other possessions,Colonies françaises (Autre),French Colonies (other)
french ports,France (ports),French Ports
french posessions,Colonies françaises,French Colonies
french posessions (b),Colonies françaises,French Colonies
french possessions,Colonies françaises,French Colonies
french possessions in africa,Afrique française,French Africa
french possessions in africa and adjacent islands,Afrique française et Iles,French Africa
"french possessions in africa, &c",Afrique française et Iles,French Africa
"french possessions in africa, and adjacent islands",Afrique française et Iles,French Africa
"french possessions in africa, and adjecent islands",Afrique française et Iles,French Africa
french possessions in america,Amérique française,French America
french possessions in eastern africa (france),Afrique orientale française,Djibouti (Afar and Issas) (French Somaliland)
french possessions in india,Inde française,French India
french possessions in india (france),Inde française,French India
french possessions in india (pondieberry) (france),Pondichéry,Pondicherry
french possessions in india : pondicherry (france),Pondichéry,Pondicherry
french possessions in north america,Amérique du Nord française,French North America
french possessions in north america (france),Amérique du Nord française,French North America
french possessions in oceania,Océanie française,French Oceania
french possessions in oceanica,Océanie française,French Oceania
french possessions in senegambia,Sénégambie française,Senegal
french possessions in senegambia (france),Sénégambie française,Senegal
french possessions in the pacific,Pacifique français,French Oceania
french possessions in the pacific (france),Pacifique français,French Oceania
french possessions in west africa,Afrique occidentale française,French West Africa
french possessions in western africa (france),Afrique occidentale française,French West Africa
french possessions: madagascar,St. Marie de Madagascar,St. Marie de Madagascar
french produce,France,France
french somaliland,Somalie française,Djibouti (Afar and Issas) (French Somaliland)
french somaliland (france),Somalie française,Djibouti (Afar and Issas) (French Somaliland)
french sumaliland (france),Somalie française,Djibouti (Afar and Issas) (French Somaliland)
french west africa,Afrique occidentale française,French West Africa
french west africa (france),Afrique occidentale française,French West Africa
french west india islands,Antilles françaises,French West Indies
french west india islands (france),Antilles françaises,French West Indies
french west indies,Antilles françaises,French West Indies
french west indies (guadaloupe and martinique) (france),Guadeloupe et Martinique,Guadeloupe & Martinique
french west indies : guadaloupe,Guadeloupe,Guadeloupe
french west indies : guadaloupe (france),Guadeloupe,Guadeloupe
french west indies : marie-galante (france),Antilles françaises (Marie-Galante),Marie-Galante
french west indies : martinique (france),Martinique,Martinique
french west indies and french guiana,Antilles françaises et Guyane française,French Guyana & French West Indies
french west indiies (guadaloupe and martinique),Guadeloupe et Martinique,Guadeloupe & Martinique
frenche equatorial africa,Afrique-Equatoriale française,French Equatorial Africa
frnace,France,France
gabon,Gabon,Gabon
gambia,Gambie,Gambia
gambia (west africa),Gambie,Gambia
gambie,Gambie,Gambia
gbr,Grande-Bretagne,United Kingdom
gênes,Gênes,Genoa
"gênes, livourne",Gênes et Livourne,Genoa & Livorno
ger,Allemagne,Germany
german  east africa,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
german africa,Afrique allemande,German Africa
german china,Chine allemande,German China
german colonies,Colonies allemandes,German Colonies
german east africa,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
german east africa (germanay),Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
german eastern africa,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
german empire,Allemagne,Germany
german new guinea,Nouvelle-Guinée allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
german new guinea (and dependencies),German New Guinea (and dependencies),New Guinea (German New Guinea) (Kaiser Wilhelmsland) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) dependencies
german new guinea (germanay),Nouvelle-Guinée allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
german oceania,Océanie allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
german pessissions in eastern africa,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
german pessissions in new guinea†,Nouvelle-Guinée allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
german pessissions in western africa*,Afrique occidentale allemande,German West Africa
german possessions,Colonies allemandes,German Colonies
german possessions in eastern africa,Afrique orientale allemande,Tanzania (Tanganyika) (German East Africa)
german possessions in new guinea†,Nouvelle-Guinée allemande,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
german possessions in the pacific,Pacifique allemand,German Oceania
german possessions in the pacific (including german leased territories in china),Pacifique allemand et concessions territoriales allemandes en Chine,German Oceania & German China Leased Territory
german possessions in western africa*,Afrique occidentale allemande,German West Africa
german south west africa,Afrique sud-occidentale allemande,South West Africa (German West Africa) (Namibia)
