original_name,RICname
etats-unis,United States of America
états-unis,United States of America
etats-unis (+hawaï et porto rico),Hawaii (Sandwich Is.) & Puerto Rico & United States of America
etats-unis (+hawaï),Hawaii (Sandwich Is.) & United States of America
etats-unis (côte atlantique),United States of America (Atlantic Coast)
etats-unis (sans californie),United States of America (other)
etats-unis d'am,United States of America
etats-unis d'amer,United States of America
etats-unis d'amerique,United States of America
etats-unis d'amérique,United States of America
etats-unis de colombie,Colombia (New Granada) (Gran Colombia)
etats-unis et canada,Canada (Province of Canada) & United States of America
etats-unis et colonies,American Colonies & United States of America
"etats-unis, canada",Canada (Province of Canada) & United States of America
etats-unis**,United States of America
ethiopia,Ethiopia (Abyssinia)
ethiopie,Ethiopia (Abyssinia)
ethiopië (abessinië),Ethiopia (Abyssinia)
ethiopie (abyssinie),Ethiopia (Abyssinia)
ethiopie ou abyssinie,Ethiopia (Abyssinia)
"ethiopië, enz.",Ethiopia (Abyssinia)
etiopia,Ethiopia (Abyssinia)
etranger,World (other)
etranger (marchandises étrangères),World (other) (Foreign produce)
etranger (marchandises françaises),World (other) (French produce)
eu da america do norte,United States of America
eu do brasil,Brazil
europa - possessoes britannicas,British Europe
europæisk rusland,European Russia
europæisk tyrki,European Turkey
europai törökország,European Turkey
európaĭ törökország,European Turkey
europaitörökorsz,European Turkey
europe,Europe
europe (port unknown),Europe (other)
europe (russia excepted),Europe (other)
europe continentale,Continental Europe
europe generally,Europe
europe méridionale,Southern Europe
europe septentrionale,Northern Europe
european countries,Europe
european ports,Europe
european turkey,European Turkey
european turkey and crete,Crete & European Turkey
europeesch rusland,European Russia
europeesch turkije,European Turkey
europeesch turkije (met kreta),Crete & European Turkey
europeisk tyrki,European Turkey
expeditionerne i nordishavet,North Sea
færeyjar,Faeroe Is.
færøene,Faeroe Is.
færøerne,Faeroe Is.
falkland,Falkland Is.
falkland (iles),Falkland Is.
falkland is.,Falkland Is.
falkland islands,Falkland Is.
falkland islands and dependencies,Falkland Is. & Falkland Is. Dependencies
falkland isles,Falkland Is.
falklandøiene,Falkland Is.
falklandsöarna,Falkland Is.
fanning island,Fanning I.
far eastern republic,Far Eastern Republic
farkland,Falkland Is.
farkland (iles),Falkland Is.
farkland islands,Falkland Is.
färöarna,Faeroe Is.
fas (ispanya),Spanish Morocco
faulkland islands,Falkland Is.
fayal and other azores,Azores (Western Isles)
fayal and the other azores,Azores (Western Isles)
fed. centraal-amerika,Costa Rica & El Salvador & Guatemala & Honduras
federated malay states,Federated Malay States
federation of south africa,South Africa
federazione australiana,Australia
fench guiana,French Guiana
fernambouc,Pernambuco
fernando po,Fernando Po (Bioko)
fernando po (spain),Fernando Po (Bioko)
fernando po* (spain),Fernando Po (Bioko)
fernando poo,Fernando Po (Bioko)
feroe,Faeroe Is.
féroé,Faeroe Is.
fertilizantes y yodo,***NA
fidji,Fiji
fidjiöarna,Fiji
fiji,Fiji
fiji islands,Fiji
filipinas,Philippines
filipinu salas,Philippines
filipiny,Philippines
filippine,Philippines
filippinene,Philippines
filippinerna,Philippines
filippinerne,Philippines
filippini szigetek,Philippines
filippseyjar,Philippines
filistin,Palestine
finland,Finland
finlanda,Finland
finlande,Finland
finlandia,Finland
finlȃndia,Finland
finlandja,Finland
finnland,Finland
finska,Finland
finsko,Finland
fiume,Fiume
fiume (ville libre),Fiume
fiume port libre,Fiume
florida,Florida
floridas,Florida
flusswärts,World
folendu salas,Falkland Is.
for ordre,***NA
for øvrig,World (other)
foreign countries,World (other)
foreign countries (non british),World (other than British)
foreign countries not separately distinguished,World (other)
foreign countries. other ports,World (other)
foreign east africa,Eastern Africa (other)
foreign merchandise from the united states,United States of America (Foreign produce)
foreign merchandise to the usa,United States of America (Foreign produce)
foreign new guinea,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
foreign pacific islands,Pacific Islands (other)
foreign possessions in india,French India
foreign settlements on the north-west coast of america,North Western America (other)
foreign states,World (other)
foreign states of america,Southern America (other)
"foreign states, south america",Southern America (other)
foreign west indies,West Indies (other)
foreign west indies - spain,Spanish West Indies
foreign whale fisheries,***NA
"foreign whale fisheries, northern",***NA
"foreign whale fisheries, southern",***NA
forenede stater,United States of America
forenta staterna,United States of America
förenta staterna,United States of America
förenta staterne,United States of America
förente staterne,United States of America
formosa,Republic of China (Taiwan) (Formosa)
formosa (japanese possession),Republic of China (Taiwan) (Formosa)
formosa (taiwan),Republic of China (Taiwan) (Formosa)
fort saint georges,Fort St. George
found at sea,***NA
fr indo-china,French Indochina
"fr. bez. v. en a- indië , port. bez. in azië",French Asia & French India & Portuguese Asia
fr. guyana,French Guiana
"fr.- en br.- somaliland , sokotra",Djibouti (Afar and Issas) (French Somaliland) & Socotra I. & Somaliland Republic (British Somaliland)
fra,France
fra andre steder,World (other)
frakkland,France
framre indien,India
franc: guadalupe,Guadeloupe
"franc: guadalupe,franc: guayane,franc: martinica",French Guiana & Guadeloupe & Martinique
franc: guayane,French Guiana
franc: martinica,Martinique
franc. džr. v asii,French Asia
franca,France
frança,France
frança e suas possesões,France & French Colonies
françaises indochine,French Indochina
france,France
france (foreign produce),France (Foreign produce)
france (french produce),France (French produce)
france (marchandises étrangères),France (Foreign produce)
france (marchandises étrangères) (autre),France (Foreign produce) (other)
france (marchandises françaises),France (French produce)
france (mer),France
france and algeria,Algeria (Regency of Algiers) & France
france and colonies,France & French Colonies
france and dependencies,France & French Colonies
france and french colonies,France & French Colonies
france and french colonies (french produce),France (French produce) & French Colonies (French produce)
france and french medit. possessions,France & French Mediterranean Sea
france et alger,Algeria (Regency of Algiers) & France
france et algerie,Algeria (Regency of Algiers) & France
france et algérie,Algeria (Regency of Algiers) & France
france et colonies,France & French Colonies
france et dépendances,France & French Colonies
france et des colonies françaises (marchandises françaises),France (French produce) & French Colonies (French produce)
france et poss. fr. en méd.,France & French Mediterranean Sea
france et possessions,France & French Colonies
france et possessions françaises (méditerrannée),France & French Mediterranean Sea
france et ses dépendances,France & French Colonies
france et ses possessions,France & French Colonies
france et ses possessions au nord de l'afrique,Algeria (Regency of Algiers) & France & Morocco & Tunisia (Regency of Tunis)
france et ses possessions d'afrique,France & French Africa
france on the atlantic,France (Atlantic Coast)
france on the mediterranean,France (Mediterranean Coast)
"france, french possessions",France & French Colonies
"france, tahiti",France & Tahiti
france(marseille),Marseille
france**,France
francia,France
francia ed algeria,Algeria (Regency of Algiers) & France
francia y sus colonias,France & French Colonies
francie,France
francija,France
"francijas kolon, nez",French Colonies (other)
"francijas kolonijas sev nem, afrika",French Africa (other)
"francijas, antilu salas",French West Indies
francja,France
francouzancie drzavy v asii,French Asia
francouzska oceanie,French Polynesia
francouzske drzavy v africe,French Africa
francouzske drzavy v jizni africe,French Southern Africa
francouzske drzavy v rovnikove africe zapadni,French Equatorial Western Africa
francouzske maroko,Morocco
francu kol azija,French Asia
francuska,France
francuska somalija,Djibouti (Afar and Issas) (French Somaliland)
francuska zapadna afrika,French West Africa
franczia indo-kina,French Indochina
franczia kelet-india,French India
franczia nyugot-india,French West Indies
franczia-guyana,French Guiana
franczia-ny.-india,French West Indies
franczia-nyugot-india,French West Indies
francziaország,France
frankfurt,Frankfurt
frankreich,France
frankrig,France
frankrige,France
frankrijk,France
frankrike,France
frankrike (med korsika),France
frankrike (samt monaco),France & Monaco
frankrike och monaco,France & Monaco
"frankrike, utom havre de frace",France (other)
fransa,France
"fransch en italiaansch somaliland, enz.",Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland
fransch equatoriaal-afrika,French Equatorial Africa
fransch kongo,Congo (Brazzaville) (French Congo) (Middle Congo)
fransch oost-afrika,French Eastern Africa
fransch somaliland en abessinie,Djibouti (Afar and Issas) (French Somaliland) & Ethiopia (Abyssinia)
fransch voor- en achter-indië,French Asia & French India
fransch west-afrika,French West Africa
fransch-kongo,Congo (Brazzaville) (French Congo) (Middle Congo)
fransch-marokko en tanger,Morocco & Tangier
fransche bezitt. in amerika,French America
fransche bezitt. in voor- en achter-indië,French Asia & French India
fransche bezittingen in amerika,French America
fransk bagindien,French Indochina
fransk guiana,French Guiana
fransk indien,French India
fransk indo-china,French Indochina
fransk indo-china og fr. bes. i india,French India & French Indochina
fransk marokko,Morocco
fransk somalkyst,Djibouti (Afar and Issas) (French Somaliland)
fransk vest-afrika,French West Africa
franska ekvatorial afrika,French Equatorial Africa
franska guinea,Guinea (French Guinea) (Rivieres du Sud)
franska guyana,French Guiana
franska indien,French India
franska indokina,French Indochina
franska kamerun,Cameroun (French Cameroons)
franska marocko,Morocco
franska niger-omradet,Niger
franska ostafrika,French Eastern Africa
franska ostindien,French India
franska ostindien (indochina),French Indochina
franska somalikusten,Djibouti (Afar and Issas) (French Somaliland)
franska sudan,Mali (French Sudan) (Upper Senegal and Niger)
franska togo,Togo (French Togoland)
franska vast- och ekvatorialafrika,French Equatorial Africa & French West Africa
franska vastafrika,French West Africa
franska västafrika,French West Africa
franska-ekvatorial-afrika,French Equatorial Africa
franske bes. i vestindia,French West Indies
franske besiddelser,French Colonies
franta,France
franz josef land,Franz Josef Land
franz-west-aquatorial-afrika,French Equatorial Western Africa
franzosisch afrika,French Africa
französisch amerika,French America
französisch australien,French Polynesia
französisch guayana,French Guiana
französisch indien,French India
franzosisch indochina,French Indochina
französisch marokko,Morocco
französisch ostindien,French India
französisch westafrika,French West Africa
franzosisch westindien,French West Indies
free orange states,Orange Free State (Orange River Colony)
free state of ireland,Ireland
"freihafen bremerhaven, geestemünde",Bremerhaven & Geestemünde
"freihäfen bremerhaven, geestemünde",Bremen
freihafen hamburg,Hamburg
"freihafen hamburg, curhaven",Cuxhaven & Hamburg
fremmed vestindien,West Indies (other)
fremmed vestindien (undt. kuba og portoriko),West Indies (other)
french africa,French Africa
french african ports,French Africa
french cameroons,Cameroun (French Cameroons)
french central america,French Central America
french china,French China
french cochin-china,Cochin China
french colonies,French Colonies
french colonies (foreign produce),French Colonies (Foreign produce)
french colonies (french produce),French Colonies (French produce)
french congo,Congo (Brazzaville) (French Congo) (Middle Congo)
french east africa,French Eastern Africa
french east africa (france),French Eastern Africa
french east indies,French India
french equatorial africa,French Equatorial Africa
french equatorial africa-congo-final,French Equatorial Africa
french european ports on the atlantic,France (Atlantic Coast)
french european ports on the mediterranean,France (Mediterranean Coast)
french guiana,French Guiana
french guiana (france),French Guiana
french guiana (french colonies),French Guiana
french guinea,Guinea (French Guinea) (Rivieres du Sud)
french india,French India
french indo-china,French Indochina
"french indo-china (cochin china, camboja, annam, and tonquin) (france)",Annam & Cambodia (Kampuchea) & Cochin China & Tonkin
"french indo-china (including cochin china, camboja, annam and tonquin)",Annam & Cambodia (Kampuchea) & Cochin China & Tonkin
"french indo-china (including cochin china, camboja, annam, and tonquin)",Annam & Cambodia (Kampuchea) & Cochin China & Tonkin
"french indo-china (including cochin china, camboja, annam, and tonquin) (france)",Annam & Cambodia (Kampuchea) & Cochin China & Tonkin
"french indo-china (including cochin china, camboja, annam, tonquin and french leased terrritories in china)",Annam & Cambodia (Kampuchea) & Cochin China & French China & Tonkin
french indo-china (saigon),Ho Chi Minh City
french indo-chinese protectorates,French Indochina
french indochina,French Indochina
french indochina (saigon),Ho Chi Minh City
french islands,French West Indies
french kamerun,Cameroun (French Cameroons)
french leased territory,French China
french madagascar,Madagascar (Malagasy Republic)
"french miquelon, &c",St. Pierre and Miquelon
"french miquelon, langley, &c",St. Pierre and Miquelon
french morocco,Morocco
french north africa,French Northern Africa
french north american fisheries,St. Pierre and Miquelon
french north american possessions,French Northern America
french oceania,French Polynesia
french other possessions,French Colonies (other)
french polinesia,French Polynesia
french ports,France
french posessions,French Colonies
french posessions (b),French Colonies
french possessions,French Colonies
french possessions in africa,French Africa
french possessions in africa and adjacent islands,French Africa
"french possessions in africa, and adjecent islands",French Africa
french possessions in america,French America
french possessions in asia,French Asia
